accountId,customerId,customerType,individualCustomerId,corporateCustomerId,accountNumber,service_type,primaryCurrency,status,openingDate,primaryBankId,primaryBrokerId,primaryCustodianId,glTemplate,dateCreated,createdBy
ACC000013,CUST-000011,Corporate,,14455805,EE227700772234567890,Trading,EUR,Active,2023-06-15,LHV,SAXO,EUROCLEAR,CORP_TRADING,2023-06-15,admin
ACC000014,CUST-000011,Corporate,,14455805,EE227700772234567891,Trading,USD,Active,2023-06-16,LHV,SAXO,EUROCLEAR,CORP_TRADING,2023-06-16,admin
ACC000015,CUST-000012,Corporate,,12345678,EE334400443456789012,PrimeBrokerage,EUR,Active,2023-07-01,LUMINOR,MS,EUROCLEAR,CORP_PRIME,2023-07-01,admin
ACC000016,CUST-000013,Corporate,,13456789,EE445500554567890123,Trading,EUR,Dormant,2023-07-15,LHV,IBKR,CLEARSTREAM,CORP_TRADING,2023-07-15,admin
ACC000017,CUST-000014,Corporate,,11929756,EE556600665678901234,CashOnly,EUR,Active,2023-08-01,SWED,,,CORP_CASH,2023-08-01,admin
ACC000018,CUST-000015,Corporate,,12066010,EE667700776789012345,Trading,EUR,Active,2023-08-15,LHV,SAXO,EUROCLEAR,CORP_TRADING,2023-08-15,admin
ACC000019,CUST-000016,Individual,37106150341,,EE778800887890123456,Trading,EUR,Active,2023-09-01,SEB,IBKR,CLEARSTREAM,IND_TRADING,2023-09-01,admin
ACC000020,CUST-000017,Corporate,,14204858,EE889900998901234567,Trading,EUR,Active,2023-09-15,LHV,IBKR,EUROCLEAR,CORP_TRADING,2023-09-15,admin
ACC000021,CUST-000018,Corporate,,16765288,EE990011009012345678,PrimeBrokerage,EUR,Active,2023-10-01,LUMINOR,GS,EUROCLEAR,CORP_PRIME,2023-10-01,admin
ACC000022,CUST-000018,Corporate,,16765288,EE990011009012345679,Trading,USD,Active,2023-10-02,LUMINOR,GS,EUROCLEAR,CORP_TRADING,2023-10-02,admin
ACC000023,CUST-000019,Corporate,,10242081,EE001122110123456789,CustodyOnly,EUR,Active,2023-10-15,COOP,,CLEARSTREAM,CORP_CUSTODY,2023-10-15,admin
ACC000024,CUST-000020,Corporate,,80207034,EE112233221234567890,CashOnly,EUR,Active,2023-11-01,LHV,,,CORP_CASH,2023-11-01,admin
ACC000025,CUST-000021,Corporate,,80212743,EE223344332345678901,CashOnly,EUR,Active,2023-11-15,SEB,,,CORP_CASH,2023-11-15,admin
ACC000026,CUST-000022,Corporate,,80212957,EE334455443456789012,CashOnly,EUR,Active,2023-12-01,SWED,,,CORP_CASH,2023-12-01,admin
ACC000027,CUST-000023,Corporate,,14567890,EE445566554567890123,Trading,EUR,Active,2023-12-15,LHV,SAXO,EUROCLEAR,CORP_TRADING,2023-12-15,admin
ACC000028,CUST-000024,Corporate,,15678901,EE556677665678901234,Trading,EUR,Active,2024-01-01,LUMINOR,IBKR,CLEARSTREAM,CORP_TRADING,2024-01-01,admin
ACC000029,CUST-000025,Corporate,,16789012,EE667788776789012345,CashOnly,EUR,Active,2024-01-15,SEB,,,CORP_CASH,2024-01-15,admin
ACC000030,CUST-000026,Individual,US123456789,,US778899887890123456,Trading,USD,Active,2024-02-01,CITI,IBKR,DTC,IND_TRADING,2024-02-01,admin
ACC000031,CUST-000027,Corporate,,17890123,EE889900998901234567,Trading,EUR,Active,2024-02-15,LHV,SAXO,EUROCLEAR,CORP_TRADING,2024-02-15,admin
ACC000032,CUST-000028,Corporate,,18901234,EE990011009012345678,PrimeBrokerage,EUR,Active,2024-03-01,SWED,MS,EUROCLEAR,CORP_PRIME,2024-03-01,admin
ACC000033,CUST-000029,Corporate,,19012345,EE001122110123456789,Trading,EUR,Active,2024-03-15,LHV,IBKR,CLEARSTREAM,CORP_TRADING,2024-03-15,admin
ACC000034,CUST-000030,Corporate,,20123456,EE112233221234567890,CustodyOnly,EUR,Active,2024-04-01,LUMINOR,,EUROCLEAR,CORP_CUSTODY,2024-04-01,admin
ACC000035,CUST-000031,Corporate,,21234567,EE223344332345678901,Trading,EUR,Active,2024-04-15,SEB,SAXO,CLEARSTREAM,CORP_TRADING,2024-04-15,admin
ACC000036,CUST-000032,Corporate,,22345678,EE334455443456789012,Trading,EUR,Dormant,2024-05-01,COOP,IBKR,EUROCLEAR,CORP_TRADING,2024-05-01,admin
ACC000037,CUST-000033,Corporate,,23456789,EE445566554567890123,Trading,EUR,Active,2024-05-15,LHV,SAXO,EUROCLEAR,CORP_TRADING,2024-05-15,admin
ACC000038,CUST-000034,Corporate,,BE987654321,BE556677665678901234,Trading,EUR,Active,2024-06-01,ING,IBKR,EUROCLEAR,CORP_TRADING,2024-06-01,admin
ACC000039,CUST-000035,Corporate,,CH123456789,CH667788776789012345,Trading,CHF,Active,2024-06-15,UBS,SAXO,SIX,CORP_TRADING,2024-06-15,admin
ACC000040,CUST-000036,Corporate,,80214567,EE778899887890123456,CashOnly,EUR,Active,2024-07-01,LHV,,,CORP_CASH,2024-07-01,admin
ACC000041,CUST-000037,Corporate,,80215678,EE889900998901234567,CashOnly,EUR,Active,2024-07-15,SWED,,,CORP_CASH,2024-07-15,admin
ACC000042,CUST-000038,Individual,37612110237,,EE990011009012345678,Trading,EUR,Active,2024-08-01,SEB,IBKR,CLEARSTREAM,IND_TRADING,2024-08-01,admin
ACC000043,CUST-000039,Individual,48907125678,,EE001122110123456789,Trading,EUR,Active,2024-08-15,LHV,SAXO,EUROCLEAR,IND_TRADING,2024-08-15,admin
ACC000044,CUST-000040,Individual,35201089012,,EE112233221234567890,CashOnly,EUR,Active,2024-09-01,LUMINOR,,,IND_CASH,2024-09-01,admin
ACC000045,CUST-000041,Corporate,,24567890,EE223344332345678901,PrimeBrokerage,EUR,Active,2024-09-15,LHV,GS,EUROCLEAR,CORP_PRIME,2024-09-15,admin
ACC000046,CUST-000041,Corporate,,24567890,EE223344332345678902,Trading,USD,Active,2024-09-16,LHV,GS,EUROCLEAR,CORP_TRADING,2024-09-16,admin
ACC000047,CUST-000042,Corporate,,25678901,EE334455443456789012,PrimeBrokerage,EUR,Active,2024-10-01,SWED,MS,CLEARSTREAM,CORP_PRIME,2024-10-01,admin
ACC000048,CUST-000043,Individual,49012234567,,EE445566554567890123,Trading,EUR,Active,2024-10-15,SEB,IBKR,EUROCLEAR,IND_TRADING,2024-10-15,admin
ACC000049,CUST-000044,Individual,36805127890,,EE556677665678901234,Trading,EUR,Active,2024-11-01,LHV,SAXO,CLEARSTREAM,IND_TRADING,2024-11-01,admin
ACC000050,CUST-000045,Corporate,,26789012,EE667788776789012345,Trading,EUR,Active,2024-11-15,LUMINOR,IBKR,EUROCLEAR,CORP_TRADING,2024-11-15,admin
ACC000051,CUST-000046,Corporate,,27890123,EE778899887890123456,CustodyOnly,EUR,Active,2024-12-01,COOP,,CLEARSTREAM,CORP_CUSTODY,2024-12-01,admin
ACC000052,CUST-000047,Individual,48503156789,,EE889900998901234567,Trading,EUR,Active,2024-12-15,LHV,SAXO,EUROCLEAR,IND_TRADING,2024-12-15,admin
ACC000053,CUST-000048,Corporate,,GB123456789,GB990011009012345678,Trading,GBP,Active,2025-01-01,HSBC,IBKR,CREST,CORP_TRADING,2025-01-01,admin
ACC000054,CUST-000049,Corporate,,SG198765432,SG001122110123456789,Trading,SGD,Active,2025-01-15,DBS,SAXO,CDP,CORP_TRADING,2025-01-15,admin
ACC000055,CUST-000050,Corporate,,HK87654321,HK112233221234567890,Trading,HKD,Active,2025-02-01,HSBC,IBKR,CCASS,CORP_TRADING,2025-02-01,admin
ACC000056,CUST-000001,Corporate,,11663703,EE187700771001342998,CashOnly,USD,Active,2023-06-01,LHV,,,CORP_CASH,2023-06-01,admin
ACC000057,CUST-000006,Corporate,,11910225,EE332200221234567891,Trading,USD,Active,2023-08-01,SWED,SAXO,CLEARSTREAM,CORP_TRADING,2023-08-01,admin
ACC000058,CUST-000012,Corporate,,12345678,EE334400443456789013,Trading,USD,Active,2023-09-01,LUMINOR,MS,EUROCLEAR,CORP_TRADING,2023-09-01,admin
ACC000059,CUST-000007,Individual,37612110236,,EE667700771003456790,CashOnly,USD,Active,2023-10-01,LHV,,,IND_CASH,2023-10-01,admin
ACC000060,CUST-000016,Individual,37106150341,,EE778800887890123457,Trading,USD,Active,2023-11-01,SEB,IBKR,CLEARSTREAM,IND_TRADING,2023-11-01,admin
